,RMS,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,Head_ID
RMS,0.019812694141315635,0.01859374074693609,0.020114084459002205,0.021954111210349958,0.018416299184480168,0.624312744060508,0.022077803046875517,0.020356390826897577,0.017987984309383264,0.019903735736763344,0.017998882379448824,0.017994721409524756,0.01931433685514748,0.015569648509776277,0.015865701675803055,0.017821804549060127,0.01703667414701893,0.01945445647462226,0.01721616946976033,0.01636951993555006,0.02182849687177613,1
H1,0.04769354968035076,0.04911313982001972,0.04230473309750292,0.046197954375435286,0.04932672635757497,0.04347884222896201,0.050650220992096,0.04593879297539313,0.04738019986167425,0.04593388733114614,0.058709503335858414,0.04871680631850246,0.043886321969182296,0.05296483925855609,0.04317620040871274,0.049812210835390995,0.0401012208739699,0.04271521530458278,0.04975246029555714,0.0525213865745008,0.04962578810503121,1
H2,0.04764774648420495,0.046772236727371595,0.04157703473086158,0.044854133332567325,0.0460319760736923,0.05357659899072391,0.04988707709106196,0.04041076252380393,0.04978972119743762,0.04638109477852162,0.045047070946231574,0.05124242452843289,0.053436825071650096,0.05290660429887838,0.04432187785018012,0.046734325988476086,0.0498254803736604,0.053141314514402946,0.04594673268258157,0.04731532630916072,0.043153635506098575,1
H3,0.04156630628054764,0.05081355443356252,0.05365284835913621,0.04651196280617186,0.05179345790931339,0.04857330784913843,0.04392126419616957,0.048572140065947234,0.05463715866806384,0.04668056693129466,0.0547827258143306,0.036051052032701064,0.050861223032759584,0.04725768390929697,0.04546804726138593,0.04727996505390082,0.038403694459677305,0.045830204815119145,0.048551340907720945,0.054309543186429894,0.044481952027332454,1
H4,0.044829009764969154,0.04622538588384637,0.05326316698318765,0.05022836668497425,0.04609612127066142,0.05116376531730283,0.049078084181718204,0.053547511680523435,0.045308720530585225,0.047037192327043544,0.04673503110663734,0.041986718191299344,0.05006473446047056,0.04988948987180835,0.04862881104956259,0.047477034798740284,0.042189347292099465,0.046601852672745435,0.04696644346537082,0.04485688563664399,0.04782632682980961,1
H5,0.6145589817071182,0.022410363268107494,0.018884900528599712,0.019042245278892162,0.0184204289192288,0.015317987418300484,0.01850893373476097,0.018670186161186864,0.02374160795793394,0.01820449990722603,0.019126209927286364,0.018493766524414798,0.016511169708167475,0.020804871980292038,0.020007320086558256,0.020085699663983127,0.01694488743662811,0.02135283117782386,0.016130627618148537,0.01967975843747067,0.023102722557871887,1
H6,0.043990693756137525,0.04589710143729764,0.04905768619838763,0.04618634414449418,0.041594393868603134,0.048905410571752135,0.043676114212632476,0.05092688525136419,0.04430463570788418,0.056714231687626473,0.04491206241269577,0.04703187610837603,0.05268777526621729,0.04294607705937448,0.04968870938682462,0.05535383892086754,0.04135872550553974,0.049476367155783005,0.04985007584860459,0.052521049163742846,0.04291994633579455,1
H7,0.040533329930959386,0.04873338967623163,0.047649337453053255,0.04742832116789951,0.04788561179264499,0.043214141277639624,0.0473418947675683,0.04763069972553048,0.04306605571646602,0.05574276963851403,0.04849950299297539,0.04106022570420407,0.04939383501286489,0.04195938351484059,0.050042803970265476,0.05193691536972062,0.04261055644273344,0.05093283842124185,0.04820430589202121,0.05021813790214575,0.05591594363047959,1
H8,0.04588036953095907,0.043606339522885056,0.0430182616537003,0.04333649538833941,0.04665900711316492,0.048651923998211735,0.04833931661159669,0.05107496640909984,0.04708132131486436,0.05437636354791363,0.04579204906267882,0.061719077125388044,0.050056025738920824,0.04315768073413749,0.04224503821953433,0.04934435634911766,0.045981074117039354,0.0505001449983248,0.049298808903249794,0.04667894781841945,0.043202431842454335,1
H9,0.040113417544885704,0.04463615173592091,0.050847730100000016,0.0476844322807093,0.041207559604078625,0.04748974037075424,0.04850793248222235,0.04272609506900204,0.04739743501009281,0.04694686708978577,0.04163322694717442,0.04837457370280422,0.049366598686954144,0.052013366168234314,0.05186145355370131,0.04066747635091929,0.042496133653771036,0.04914126598845621,0.04913512707349375,0.049141327017510915,0.06861208956952868,1
H10,0.05000332427236477,0.05290812938404397,0.0519561770351941,0.05040747929242943,0.045762890570219955,0.05095268003929512,0.04371616386220876,0.04612331529491082,0.044991072572588726,0.04761690529942886,0.059529161055462534,0.0391842123044666,0.05058355161919977,0.040194446948627796,0.04505154375312274,0.052662071854965936,0.047533201200049245,0.04240329026442204,0.04396835042944234,0.05054986184820409,0.04390217109935233,1
H11,0.04834004904523358,0.04752099982379295,0.044320817875798176,0.05861607285859155,0.05040076901209736,0.03863274651918003,0.04819522560839149,0.04427569515660251,0.0515142188833714,0.04370062731629114,0.046765272494483916,0.0497551143240145,0.05158289113329009,0.04195446612090508,0.04574874718085516,0.04511072394774602,0.04431315597856518,0.05643897437876879,0.04926001523658122,0.041701042791068545,0.05185237431437113,1
H12,0.059165651120052246,0.05305727881213278,0.04110741585422635,0.045590626170124986,0.054315880956447106,0.04458326612671858,0.05002422954967172,0.05170678141977717,0.04361636783964866,0.04756860575230908,0.03460502152189179,0.04319335967019689,0.046659134674903464,0.042239137410399454,0.056337853722135525,0.041475852832569826,0.045792535045413287,0.04848233932300753,0.05527124907698846,0.041452132223416864,0.05375528089796833,1
H13,0.04753645962744258,0.043048303244900894,0.04973376253064034,0.04844260287141021,0.04472139372266074,0.04782047476311699,0.045692872453788475,0.04802998081005145,0.05073858918841455,0.05564962633953137,0.04195896562321602,0.058778551566111975,0.03906648356880148,0.04677248824745911,0.050365448898419,0.04884113403604361,0.04462096115300372,0.04650972621219872,0.04520345799132606,0.04476995226013369,0.05169876489132906,1
H14,0.047581307266138295,0.04283893869129204,0.050234317996608026,0.04734533925993607,0.049800481014181636,0.04889627976746325,0.042259912003752585,0.04341132392483189,0.04947501484463316,0.04880220311126564,0.04581668250456623,0.04645439921330776,0.052169859327119115,0.04327526791953585,0.04849439232706813,0.04499355088242261,0.044923916333434434,0.05124490078642292,0.04986304094557246,0.04980370578519689,0.05231516609525115,1
H15,0.04692659436428471,0.05013299989146159,0.04539752095021061,0.048371016893624795,0.046222646832277337,0.04728455791694756,0.04969974871922234,0.04314912357812077,0.057726878801695185,0.042346358706487584,0.04147394145701962,0.05257786753741913,0.0506860357665044,0.04984390171866686,0.049864968668207055,0.046770819678202076,0.042809444213767534,0.04718446138351177,0.043762093761724935,0.051624488742368045,0.04614453041827613,1
H16,0.044732967149985224,0.04704581364910274,0.05063047233170548,0.04591941508884599,0.04474762765599258,0.049780791200054325,0.04978716036086342,0.0461808935055127,0.04634700343146206,0.04972289362370513,0.042032874380002805,0.04220396154714466,0.04521441932017373,0.0475563704831732,0.05011654665702526,0.05630571790145213,0.05293297189378437,0.047811520093583165,0.048490060985466,0.04394801829537734,0.04849250044558773,1
