,Degradation_0%,Degradation_2%,Degradation_4%,Degradation_6%,Degradation_8%,Degradation_10%,Degradation_12%,Degradation_14%,Degradation_16%,Degradation_18%,Degradation_20%,Degradation_22%,Degradation_24%,Degradation_26%,Degradation_28%,Degradation_30%,Degradation_32%,Degradation_34%,Degradation_36%,Degradation_38%,Degradation_40%,Degradation_42%,Degradation_44%,Degradation_46%,Degradation_48%,Degradation_51%,Degradation_53%,Degradation_55%,Degradation_57%,Degradation_59%,Degradation_61%,Degradation_63%,Degradation_65%,Degradation_67%,Degradation_69%,Degradation_71%,Degradation_73%,Degradation_75%,Degradation_77%,Degradation_79%,Degradation_81%,Degradation_83%,Degradation_85%,Degradation_87%,Degradation_89%,Degradation_91%,Degradation_93%,Degradation_95%,Degradation_97%,Degradation_100%
Harmonic_1,0.006301417046476592,0.0018780097380235918,0.004085065431183401,0.014217185972444021,0.009230538973308163,0.012784547601126517,0.001994780788409938,0.0073181433386075075,0.003026279916986857,0.01786058850031307,0.013863650133310776,0.0017687497257779326,0.020621196982698486,0.007428948715382166,0.01269407116046778,0.012051175112401651,0.00604443710534825,0.005411695806084849,0.01217239791848481,0.00846037786532082,0.01067720936139184,0.0011240843844742207,0.009263688876904666,0.009311315029583265,0.007962030346234812,0.009520507918665575,0.010817027436146487,0.010843813801214727,0.004233168649593906,0.004847397428583076,0.013732653069300183,0.010414706559493557,0.009692617814389175,0.0013826489016107776,0.007067271880132965,0.014508776003170899,0.015058432433364168,0.016910408103405654,0.013340363989512877,0.010879883013286936,0.01350724523347835,0.0060845105117726716,0.007330294997476886,0.004473140624863004,0.006888717668553536,0.004122810316484523,0.010352549721959458,0.013256574923425173,0.012317777574444752,0.01450723432252713
Harmonic_2,0.014074598983169938,0.010516824056222512,0.017091943258708088,0.0015271038773934584,0.008230379086987295,0.012124028680546173,0.003616227346528853,0.0160515294330203,0.00914942781193365,0.010104441411562318,0.014161121423955366,0.007319106006312066,0.003682671722933623,0.012010667150665335,0.015359426099151849,0.008244828047837483,0.010408299066236405,0.0,0.009146202427356784,0.013738264977722636,0.002630295360980711,0.006548809822180059,0.017062693547407897,0.0126331274327871,0.008679248389372556,0.011100927628380839,0.011040805372864181,0.010117339482213111,0.01643288119036961,0.022463819288239942,0.013391251407201103,0.00586347959660826,0.017213924464895586,0.0015903663436057786,0.013196162148476905,0.019598140025145313,0.023645875085366926,0.0021085739515108812,0.019453239543744373,0.0036194720505841275,0.0015032126757338754,0.01204462943421604,0.011557505392025469,0.008643136512167004,0.004706987969650736,0.00917750253381548,0.003678363443958591,0.009118450401132345,0.011891703026387578,0.017376656421409807
Harmonic_3,0.007278133186446816,0.003971944643564932,0.010234405117005846,0.009898415825885087,0.007445739132960176,0.016700241824782008,0.006568387233351684,0.0024521158642655536,0.009097690510969949,0.004777234839013829,0.006798622307840497,0.01586656747912523,0.015467255247483578,0.01624114233549548,0.009957937839018228,0.010425552846117875,0.009422444153114527,0.01643008016655249,0.006918773343424309,0.013230775584663698,0.014207456692285202,0.0073707946030286105,0.007010898801834846,0.004638656193703737,0.013578448989769648,0.007728478273788119,0.009270107810284351,0.010151904693755959,0.008128993379555591,0.007573628378049799,0.01203797990430041,0.011678308048809205,0.01850723390196095,0.017599522121365084,0.019161793284504,0.014094716852761972,0.010531559735826836,0.012199106949539434,0.013520784715817545,0.001691911082186975,0.016910304555956206,0.016581733902308743,0.013533322319833754,0.0040880472712724126,0.01657625426977078,0.009893009524825153,0.013085171254848038,0.01885745685124379,0.001865196952519143,0.0008104283694016987
Harmonic_4,0.00674074856257439,0.012036506305636935,0.012453975934972673,0.002443838071827871,0.007685622304703335,0.010353123394091423,0.011155997218669177,0.011856658886373678,0.0094651396256601,0.0051519168162349775,0.0206632936557894,0.01268124615518038,0.0008076138017532788,0.019024032617128723,0.0008191185304660623,0.014205977641396863,0.005979467780702104,0.0,0.011569496726363296,0.008786048138318868,0.01873635087020631,0.004346574996904547,0.016641444547877943,0.010374056471569262,0.0132268406147326,0.007980427132372559,0.0,0.011494207962496821,0.001234495698311626,0.01853451703442004,0.014501666839410836,0.006763351650911704,0.004954256613015924,0.0030205096038186897,0.006487665926711093,0.014847256756393786,0.010425208166261326,0.011200044700308087,0.007592316107294727,0.01673974230492807,0.006137071796065653,0.008844124683542351,0.0066142118176562995,0.0119697735672407,0.006365071956594301,0.005529133100447766,0.0,0.012734678322357643,0.008458948959894946,0.008163772872243964
Harmonic_5,0.006256068499970721,0.011261463701737829,0.015867078836636902,0.007909468229388407,0.021975045983631897,0.020734071256993208,0.016863422583355762,0.0322240610076876,0.03542174048327983,0.03234240695695351,0.045068928800485755,0.05469425172507076,0.05988668959329817,0.06831108660906811,0.0696505869646305,0.09057061053034156,0.09062624203189712,0.10418873718009361,0.11953048535662414,0.13086365301482283,0.1368375223006748,0.15953079605681375,0.16917859851423528,0.1825248591769986,0.20343218866605703,0.21194954312353934,0.23539872373206447,0.2541604088210958,0.2672775688576638,0.2856587293926352,0.3141007152695164,0.32889594160136765,0.3554788370137951,0.38585044791188006,0.39356179124814017,0.43384795992582215,0.43896948236905,0.46761133142139844,0.4902000033708578,0.5164055195370854,0.5429563303275334,0.5699394517406724,0.604267003905117,0.6176930233380665,0.6575156220528243,0.6850981355867852,0.710357872064573,0.7498242229861132,0.7736653731009303,0.8034706781366427
Harmonic_6,0.008672476625927607,0.0046904639852229325,0.013965011472798793,0.01747604110724032,0.018437263832618764,0.012610819647610252,0.003802660647417409,0.007153809602545947,0.012269459106249672,0.0004949521120022164,0.010817816650088756,0.009418539416621227,0.012770217350738505,0.009409065206535446,0.004686275212827646,0.010105706607399763,0.014951366624585074,0.005859929223834787,0.0008507779127345794,0.016756838220569927,0.005735421182548957,0.011843575072991469,0.027325162248793576,0.008766714879112288,0.012991366440451036,0.0013742293517787878,0.01182369767977548,0.012418927270856289,0.01263025513943828,0.0034526282364737036,0.013696179368175411,0.006345397961807101,0.018001519648604043,0.004031223509377596,0.018930688779778868,0.005967502401250251,0.006313634606919789,0.014574235084168625,0.004332391286404906,0.008978814108017714,0.009154664549625834,0.0064211615698458475,0.01094419077040516,0.0031929230523903207,0.0015242733081556777,0.012693776336854146,0.0020054019848625374,0.007046962228413257,0.011012088798934864,0.009222225302341397
Harmonic_7,0.0065158265664298914,0.01929842849509502,0.028498678618053767,0.03074204990059414,0.04663920720118579,0.05143732167426456,0.0617728387927661,0.06540385777591758,0.07553495987157055,0.08320971227673742,0.09383997484209333,0.10502475397493902,0.11669063681237113,0.10616731308940114,0.121118448910258,0.12574564132517477,0.1395802472187376,0.15576868233989333,0.15785495009452866,0.16932262621587407,0.17726798220390588,0.1875144754327441,0.19551346912232942,0.19101861059174188,0.18998209206527603,0.22030478860872516,0.21281174824472174,0.22718525744472035,0.23960868978894156,0.24448342731770012,0.25949769188674576,0.26266366316242484,0.2693751651117732,0.2739723029725861,0.2789815612817048,0.2986820323794242,0.30581718637182415,0.32100722047683794,0.32453160244202744,0.32753123789007516,0.33492908659604526,0.34729855644910834,0.3597133821287109,0.3595326475092422,0.36566752930794494,0.37265785877189417,0.38472913961980193,0.39682419219957266,0.4108597153614178,0.4013872285314888
Harmonic_8,0.019702457167685095,0.01217343227167221,0.011360383506385189,0.009886566339348968,0.0006200254199954756,0.011095789907500398,0.01670518898257875,0.007185247316873231,0.007948516051830244,0.015987737134041023,0.009421805016488018,0.009114228019045208,0.018452970437789366,0.00908294180625543,0.010803483057313231,0.0029919462123932884,0.005714739163808495,0.008524346375952757,0.00738444701213605,0.00879508462226466,0.008836533210771585,0.009982402120859404,0.013456165384889451,0.0,0.015010125037568241,0.006910826063125584,0.008535672016206686,0.012737340050518195,0.007243883595137751,0.01583771280696549,0.015059908273321564,0.02395034806734529,0.009486336607100004,0.013399630495460188,0.01740137883837614,0.006474790566457809,0.010047492340765907,0.005240423562132491,0.011148246785438574,0.016021883344320163,0.011779605346042239,0.016232612995439773,0.013928729603067274,0.013265693488103702,0.011845506922399057,0.01969847998603967,0.010861854131972944,0.007234757486341193,0.011027183011356105,0.006315402660512906
Harmonic_9,0.014031962031655913,0.012382653101613312,0.008181168214908023,0.01768654035626089,0.015663384061935078,0.00882019778416652,0.002769728530695517,0.00037857397126146546,0.009160418899760115,0.00808939704199397,0.005050407662674135,0.005561855240269057,0.009984710062596727,0.013114208183019184,0.006493862408493275,0.009255441549947263,0.006107632177566134,0.011047520549869353,0.0021488358723499076,0.0011768945275315926,0.013747560841131674,0.014192663770681704,0.011802115021363866,0.008561243668213344,0.008120342765902372,0.013073473254208084,0.011869765208475807,0.00851182715273911,0.013594245215859066,0.011224827270997481,0.005165875293855278,0.011167397942091978,0.005114263615327401,0.016692531891158702,0.008076554751243789,0.012917020397608125,0.010320266943146006,0.010548870988898522,0.013931445529542195,0.012315671422572411,0.012206333071771002,0.01631811356740394,0.005821548830700059,0.006342438614529981,0.007167985978565968,0.014443265329425376,0.020338777887275547,0.012233733457068057,0.012413003763349664,0.015756832797607652
Harmonic_10,0.010989148343900643,0.006068423549852319,0.01845740103850356,0.007746718676009337,0.007062396665378654,0.012044964710484964,0.01681197753744967,0.007669845450926076,0.0002512972427301339,0.00787734480203479,0.01358368640803257,0.00912741821307384,0.005682322948257808,5.8132158520974794e-05,0.003923915696032233,0.014223037292776058,0.017157512546625814,0.014152588538927351,0.005174250285035221,0.014208788658409315,0.00931562133915622,0.01349315013998426,0.007962760498399874,0.007925383723103776,0.005639473402448772,0.003928197051228266,0.009075288121798064,0.010737189060527074,0.008991772553779807,0.007138067436514342,0.009746233281300991,0.012025440096416939,0.013298381227168993,0.01181918759125267,0.00889653046219297,0.006452555863978875,0.0035614998264799965,0.020384743481671082,0.0087135842527029,0.012213830667006478,0.00765044873180497,0.008046295098868728,0.00904437130939117,0.007259276997642904,0.009936371500537944,0.005167945361773981,0.0019162550376487873,0.012215324080061846,0.019242925492968854,0.00754813404467802
