Harmonic,Normal,Fault
1,1.0,1.0
2,0.017677669529663688,0.15
3,0.009622504486493764,0.12
4,0.00625,0.00625
5,0.00447213595499958,0.00447213595499958
6,0.0034020690871988586,0.0034020690871988586
7,0.0026997462357801942,0.0026997462357801942
8,0.002209708691207961,0.002209708691207961
9,0.001851851851851852,0.001851851851851852
10,0.0015811388300841897,0.0015811388300841897
11,0.0013705061117171074,0.0013705061117171074
12,0.0012028130608117205,0.0012028130608117205
13,0.0010667311465869791,0.0010667311465869791
14,0.0009545044354015157,0.0009545044354015157
15,0.0008606629658238704,0.0008606629658238704
16,0.00078125,0.00078125
17,0.0007133400736362735,0.0007133400736362735
18,0.0006547285010986551,0.0006547285010986551
19,0.0006037256154488468,0.0006037256154488468
20,0.0005590169943749475,0.0005590169943749475
