Event_ID,Contagion_Path,Source_Node,Target_Node,Measured_Propagation_Delay_ms,Wind_Speed_m_s,Active_Power_MW,Contagion_Severity_pu,Mitigation_Status
1,Bilateral_Backward,C,A,44.5,16.7,5.0,0.5872,Propagated
2,Bilateral_Backward,C,A,55.15,5.87,1.15,0.8296,Blocked
3,Bilateral_Forward,C,E,5261.82,5.85,1.14,0.6998,Attenuated
4,Reverse,E,A,0.991,7.75,1.9,0.3238,Propagated
5,Bilateral_Forward,C,E,500.0,12.87,3.95,0.4099,Propagated
6,Bilateral_Forward,C,E,2281.39,11.84,3.54,0.7567,Propagated
7,Bilateral_Backward,C,A,49.76,17.9,5.0,0.6623,Propagated
8,Reverse,E,A,4.75,19.48,5.0,0.7776,Propagated
9,Forward,A,E,262.53,8.62,2.25,0.6649,Blocked
10,Bilateral_Forward,C,E,500.0,18.64,5.0,0.2829,Blocked
11,Reverse,E,A,2.183,8.12,2.05,0.5609,Propagated
12,Reverse,E,A,3.898,19.09,5.0,0.8553,Propagated
13,Bilateral_Forward,C,E,1976.64,13.56,4.22,0.5188,Attenuated
14,Forward,A,E,492.13,9.07,2.43,0.7959,Propagated
15,Bilateral_Forward,C,E,4670.16,9.14,2.46,0.3166,Propagated
16,Forward,A,E,4334.15,16.58,5.0,0.2288,Propagated
17,Bilateral_Backward,C,A,53.56,7.98,1.99,0.6902,Blocked
18,Bilateral_Backward,C,A,47.93,6.74,1.5,0.8268,Blocked
19,Reverse,E,A,0.568,10.56,3.02,0.652,Blocked
20,Bilateral_Forward,C,E,5074.45,18.31,5.0,0.475,Propagated
21,Reverse,E,A,4.26,15.83,5.0,0.2624,Propagated
22,Bilateral_Backward,C,A,43.77,12.84,3.94,0.4348,Propagated
23,Forward,A,E,225.29,18.44,5.0,0.4778,Propagated
24,Bilateral_Forward,C,E,11906.33,8.74,2.3,0.4193,Blocked
25,Bilateral_Forward,C,E,14310.69,13.98,4.39,0.6753,Attenuated
26,Reverse,E,A,4.06,14.5,4.6,0.8343,Attenuated
27,Bilateral_Forward,C,E,2693.64,18.25,5.0,0.3419,Propagated
28,Forward,A,E,382.73,6.65,1.46,0.2551,Propagated
29,Bilateral_Forward,C,E,2173.71,9.57,2.63,0.1982,Propagated
30,Reverse,E,A,1.188,6.8,1.52,0.3539,Attenuated
31,Reverse,E,A,1.172,13.37,4.15,0.4135,Propagated
32,Reverse,E,A,4.816,8.78,2.31,0.4975,Propagated
33,Forward,A,E,6092.61,9.0,2.4,0.929,Propagated
34,Bilateral_Backward,C,A,54.78,8.59,2.24,0.1804,Propagated
35,Bilateral_Forward,C,E,4024.79,13.89,4.36,0.1228,Propagated
36,Forward,A,E,1302.75,10.52,3.01,0.6191,Blocked
37,Bilateral_Backward,C,A,47.41,17.25,5.0,0.7685,Propagated
38,Bilateral_Backward,C,A,67.07,5.25,0.9,0.5109,Propagated
39,Bilateral_Forward,C,E,505.61,19.11,5.0,0.4078,Propagated
40,Bilateral_Forward,C,E,739.72,10.12,2.85,0.1521,Attenuated
41,Reverse,E,A,3.509,8.43,2.17,0.2075,Attenuated
42,Bilateral_Forward,C,E,3771.4,8.63,2.25,0.1338,Attenuated
43,Forward,A,E,2142.48,7.83,1.93,0.301,Blocked
44,Bilateral_Forward,C,E,11370.49,18.31,5.0,0.7519,Blocked
45,Bilateral_Backward,C,A,58.74,19.03,5.0,0.7568,Blocked
46,Reverse,E,A,0.145,6.52,1.41,0.6472,Propagated
47,Bilateral_Forward,C,E,1821.84,12.28,3.71,0.4536,Attenuated
48,Bilateral_Forward,C,E,6227.09,8.56,2.22,0.3429,Blocked
49,Bilateral_Forward,C,E,6816.22,15.81,5.0,0.3273,Propagated
50,Bilateral_Backward,C,A,36.3,8.66,2.26,0.9257,Propagated
51,Reverse,E,A,4.54,11.52,3.41,0.3651,Blocked
52,Bilateral_Backward,C,A,42.28,12.39,3.76,0.2257,Blocked
53,Bilateral_Backward,C,A,64.8,5.65,1.06,0.9451,Propagated
54,Reverse,E,A,4.583,10.55,3.02,0.0639,Attenuated
55,Forward,A,E,804.67,13.58,4.23,0.9323,Propagated
56,Forward,A,E,486.29,17.77,5.0,0.3352,Propagated
57,Forward,A,E,502.02,17.66,5.0,0.887,Propagated
58,Reverse,E,A,3.114,19.85,5.0,0.1761,Propagated
59,Reverse,E,A,1.68,17.73,5.0,0.173,Blocked
60,Bilateral_Backward,C,A,53.97,9.4,2.56,0.7784,Attenuated
61,Forward,A,E,945.5,6.22,1.29,0.0547,Blocked
62,Bilateral_Forward,C,E,5248.6,15.53,5.0,0.7662,Attenuated
