Trial_ID,Model_Architecture,Trigger_Latency_ms,Prediction_Error_MAPE_%,Pre_warning_Lead_Time_s
1,Traditional LSTM,883,18.15,3.41
1,Pure ST-GCN,381,11.82,5.66
1,Proposed CNN+Transformer,50,5.6,11.82
2,Traditional LSTM,886,17.55,3.05
2,Pure ST-GCN,346,9.78,4.8
2,Proposed CNN+Transformer,42,4.67,12.79
3,Traditional LSTM,788,15.8,3.67
3,Pure ST-GCN,333,12.18,4.97
3,Proposed CNN+Transformer,43,5.26,10.97
4,Traditional LSTM,875,17.29,3.11
4,Pure ST-GCN,323,14.34,5.79
4,Proposed CNN+Transformer,41,5.63,10.89
5,Traditional LSTM,864,14.79,2.77
5,Pure ST-GCN,345,12.99,5.9
5,Proposed CNN+Transformer,44,5.04,10.57
6,Traditional LSTM,801,17.55,3.54
6,Pure ST-GCN,349,9.97,5.99
6,Proposed CNN+Transformer,43,4.85,13.16
7,Traditional LSTM,920,20.11,2.93
7,Pure ST-GCN,331,12.5,6.37
7,Proposed CNN+Transformer,43,5.1,11.03
8,Traditional LSTM,768,19.9,3.63
8,Pure ST-GCN,338,13.31,6.01
8,Proposed CNN+Transformer,42,5.39,14.31
9,Traditional LSTM,847,21.28,2.36
9,Pure ST-GCN,362,12.21,5.63
9,Proposed CNN+Transformer,45,4.17,12.13
10,Traditional LSTM,874,21.12,3.03
10,Pure ST-GCN,318,11.49,6.33
10,Proposed CNN+Transformer,46,4.92,13.04
11,Traditional LSTM,856,20.18,2.98
11,Pure ST-GCN,331,11.63,4.95
11,Proposed CNN+Transformer,46,5.34,12.41
12,Traditional LSTM,834,15.8,3.07
12,Pure ST-GCN,330,11.13,5.71
12,Proposed CNN+Transformer,46,6.18,12.62
13,Traditional LSTM,867,18.26,2.59
13,Pure ST-GCN,339,12.17,7.23
13,Proposed CNN+Transformer,44,5.36,12.36
14,Traditional LSTM,770,20.5,3.44
14,Pure ST-GCN,361,11.0,6.61
14,Proposed CNN+Transformer,39,5.51,15.12
