Incident_ID,Protection_Strategy,Action_Timing,Secondary_Damage_Risk,Secondary_Damage_Cost_kUSD,OM_Cost_kUSD,Total_Cost_kUSD,Relative_Cost_Percent
1,SCADA Threshold Trip,At Fault (0s),Very High,125.53,48.03,173.56,100.0
1,Expert System Warning,2.66s before fault,High,45.03,41.6,86.62,49.91
1,Proposed Lesion Elimination,15.74s before fault,Very Low (Smooth derating),2.02,8.69,10.71,6.17
2,SCADA Threshold Trip,At Fault (0s),Very High,99.6,53.73,153.33,100.0
2,Expert System Warning,2.27s before fault,High,46.71,48.48,95.19,62.08
2,Proposed Lesion Elimination,12.14s before fault,Very Low (Smooth derating),2.79,8.75,11.54,7.52
3,SCADA Threshold Trip,At Fault (0s),Very High,118.57,51.4,169.97,100.0
3,Expert System Warning,2.27s before fault,High,48.27,43.2,91.47,53.82
3,Proposed Lesion Elimination,11.36s before fault,Very Low (Smooth derating),1.49,9.57,11.06,6.51
4,SCADA Threshold Trip,At Fault (0s),Very High,121.99,46.5,168.49,100.0
4,Expert System Warning,1.69s before fault,High,46.02,40.58,86.6,51.4
4,Proposed Lesion Elimination,27.43s before fault,Very Low (Smooth derating),2.19,7.94,10.13,6.01
5,SCADA Threshold Trip,At Fault (0s),Very High,143.48,49.67,193.15,100.0
5,Expert System Warning,2.37s before fault,High,41.75,35.7,77.44,40.09
5,Proposed Lesion Elimination,29.94s before fault,Very Low (Smooth derating),0.9,7.05,7.95,4.12
6,SCADA Threshold Trip,At Fault (0s),Very High,126.6,47.49,174.09,100.0
6,Expert System Warning,2.39s before fault,High,55.48,46.99,102.47,58.86
6,Proposed Lesion Elimination,15.47s before fault,Very Low (Smooth derating),1.95,9.15,11.1,6.38
7,SCADA Threshold Trip,At Fault (0s),Very High,147.7,44.65,192.35,100.0
7,Expert System Warning,1.8s before fault,High,43.35,46.09,89.44,46.5
7,Proposed Lesion Elimination,14.6s before fault,Very Low (Smooth derating),2.72,7.25,9.97,5.18
8,SCADA Threshold Trip,At Fault (0s),Very High,118.77,55.59,174.35,100.0
8,Expert System Warning,2.94s before fault,High,43.16,43.58,86.74,49.75
8,Proposed Lesion Elimination,25.53s before fault,Very Low (Smooth derating),2.22,9.07,11.29,6.48
9,SCADA Threshold Trip,At Fault (0s),Very High,129.64,56.65,186.29,100.0
9,Expert System Warning,1.26s before fault,High,48.93,47.5,96.43,51.76
9,Proposed Lesion Elimination,19.63s before fault,Very Low (Smooth derating),2.9,7.82,10.72,5.76
10,SCADA Threshold Trip,At Fault (0s),Very High,119.4,42.85,162.24,100.0
10,Expert System Warning,1.13s before fault,High,49.52,36.13,85.65,52.79
10,Proposed Lesion Elimination,25.95s before fault,Very Low (Smooth derating),1.06,8.05,9.11,5.61
11,SCADA Threshold Trip,At Fault (0s),Very High,113.22,37.88,151.1,100.0
11,Expert System Warning,2.2s before fault,High,36.25,46.59,82.85,54.83
11,Proposed Lesion Elimination,27.2s before fault,Very Low (Smooth derating),1.98,7.53,9.51,6.29
12,SCADA Threshold Trip,At Fault (0s),Very High,119.95,44.21,164.15,100.0
12,Expert System Warning,2.24s before fault,High,59.25,44.6,103.85,63.27
12,Proposed Lesion Elimination,10.2s before fault,Very Low (Smooth derating),0.98,8.71,9.69,5.9
13,SCADA Threshold Trip,At Fault (0s),Very High,116.29,46.59,162.88,100.0
13,Expert System Warning,1.07s before fault,High,39.14,41.78,80.93,49.69
13,Proposed Lesion Elimination,12.65s before fault,Very Low (Smooth derating),2.32,10.3,12.62,7.75
14,SCADA Threshold Trip,At Fault (0s),Very High,111.43,52.86,164.3,100.0
14,Expert System Warning,1.33s before fault,High,38.61,43.6,82.21,50.04
14,Proposed Lesion Elimination,24.13s before fault,Very Low (Smooth derating),1.68,8.56,10.24,6.23
15,SCADA Threshold Trip,At Fault (0s),Very High,130.47,51.97,182.44,100.0
15,Expert System Warning,2.43s before fault,High,53.71,40.18,93.89,51.47
15,Proposed Lesion Elimination,26.3s before fault,Very Low (Smooth derating),2.1,9.82,11.92,6.53
16,SCADA Threshold Trip,At Fault (0s),Very High,151.13,46.55,197.68,100.0
16,Expert System Warning,2.05s before fault,High,46.64,41.02,87.66,44.34
16,Proposed Lesion Elimination,11.21s before fault,Very Low (Smooth derating),1.76,7.85,9.61,4.86
17,SCADA Threshold Trip,At Fault (0s),Very High,115.19,52.12,167.32,100.0
17,Expert System Warning,2.95s before fault,High,40.77,38.37,79.14,47.3
