H,B_Normal,B_Saturated
-3.0,-1.4925821305300957,-1.199703853017633
-2.969849246231156,-1.4921222706274992,-1.1996758207923768
-2.9396984924623117,-1.491633982084397,-1.199645135528272
-2.909547738693467,-1.4911155176194335,-1.1996115462129837
-2.879396984924623,-1.4905650238605848,-1.1995747781005357
-2.849246231155779,-1.4899805350698934,-1.199534530470313
-2.819095477386935,-1.4893599665183883,-1.199490474175069
-2.7889447236180906,-1.4887011074944696,-1.1994422489581913
-2.758793969849246,-1.4880016139286245,-1.1993894605186615
-2.728643216080402,-1.4872590006169673,-1.199331677300144
-2.698492462311558,-1.4864706330257862,-1.1992684269784912
-2.6683417085427137,-1.4856337186590423,-1.1991991926195793
-2.6381909547738696,-1.4847452979706142,-1.199123408476834
-2.608040201005025,-1.483802234803041,-1.199040455395015
-2.577889447236181,-1.482801206334596,-1.198949655783788
-2.5477386934673367,-1.481738692516748,-1.198850268121339
-2.5175879396984926,-1.480610964984474,-1.1987414809446921
-2.4874371859296485,-1.4794140754224783,-1.1986224062795374
-2.457286432160804,-1.4781438433712,-1.1984920724581714
-2.4271356783919598,-1.4767958434575978,-1.1983494162696218
-2.3969849246231156,-1.4753653920370757,-1.1981932743811199
-2.3668341708542715,-1.4738475332346737,-1.1980223739648028
-2.3366834170854274,-1.4722370243757736,-1.1978353224578244
-2.306532663316583,-1.4705283207991515,-1.1976305963779312
-2.2763819095477387,-1.4687155600482944,-1.1974065291099818
-2.2462311557788945,-1.4667925454405468,-1.1971612975718509
-2.2160804020100504,-1.4647527290179352,-1.196892907660638
-2.1859296482412063,-1.462589193888514,-1.1965991783720957
-2.1557788944723617,-1.4602946359728644,-1.1962777244776872
-2.1256281407035176,-1.4578613451770264,-1.1959259376347082
-2.0954773869346734,-1.4552811860207988,-1.195540965795443
-2.0653266331658293,-1.452545577759027,-1.195119690771425
-2.035175879396985,-1.4496454740433933,-1.194658703798574
-2.0050251256281406,-1.4465713421833937,-1.1941542789383393
-1.9748743718592965,-1.4433131420777525,-1.1936023441390962
-1.9447236180904524,-1.4398603049016319,-1.1929984497710244
-1.914572864321608,-1.4362017116507262,-1.1923377344367088
-1.8844221105527639,-1.4323256716608421,-1.1916148878489359
-1.8542713567839197,-1.4282199012409413,-1.1908241105568849
-1.8241206030150754,-1.423871502579019,-1.1899590702924197
-1.7939698492462313,-1.4192669431036555,-1.1890128546999108
-1.763819095477387,-1.414392035509763,-1.1879779202064042
-1.7336683417085428,-1.409231918684959,-1.186846036784647
-1.7035175879396987,-1.4037710398032452,-1.1856082283601443
-1.6733668341708543,-1.3979931378852049,-1.1842547086160033
-1.6432160804020102,-1.391881229158755,-1.182774811956789
-1.6130653266331658,-1.3854175945915281,-1.181156919406283
-1.5829145728643217,-1.3785837700050236,-1.1793883792353368
-1.5527638190954773,-1.3713605392215817,-1.177455422146696
-1.5226130653266332,-1.363727930737654,-1.1753430708857744
-1.492462311557789,-1.3556652184603575,-1.1730350442022361
-1.4623115577889447,-1.3471509270883648,-1.17051365515961
-1.4321608040201006,-1.338162842762129,-1.1677597038821401
-1.4020100502512562,-1.3286780296514014,-1.1647523649431881
-1.3718592964824121,-1.318672853189002,-1.1614690697417085
-1.341708542713568,-1.3081230106975954,-1.1578853843870005
-1.3115577889447236,-1.2970035701894531,-1.1539748838219095
-1.2814070351758795,-1.2852890181461574,-1.1497090231660505
-1.2512562814070352,-1.2729533171041403,-1.1450570075588684
-1.221105527638191,-1.2599699738807102,-1.13998566213299
-1.190954773869347,-1.246312119271549,-1.13445930415676
-1.1608040201005025,-1.2319526000320353,-1.1284396198561242
-1.1306532663316584,-1.2168640839185039,-1.121885548964318
-1.100502512562814,-1.201019178508861,-1.1147531806559312
-1.07035175879397,-1.1843905644419803,-1.106995665200594
-1.0402010050251258,-1.1669511436091204,-1.0985631464185133
-1.0100502512562815,-1.148674202695458,-1.0894027208290655
-0.9798994974874371,-1.129533592303218,-1.0794584302430135
-0.949748743718593,-1.1095039216876093,-1.0686712954401518
-0.9195979899497488,-1.0885607689012753,-1.0569793994703764
-0.8894472361809047,-1.066680905871335,-1.0443180299800834
-0.8592964824120606,-1.0438425376254235,-1.0306198907482014
-0.829145728643216,-1.0200255545406507,-1.015815393254165
-0.7989949748743719,-0.9952117961146949,-0.9998330395159953
-0.7688442211055277,-0.9693853243555086,-0.9825999075372165
-0.7386934673366836,-0.9425327044613128,-0.9640422503786291
-0.7085427135678395,-0.9146432900234915,-0.9440862190043193
-0.6783919597989949,-0.8857095095415817,-0.922658717511565
-0.6482412060301508,-0.8557271506035469,-0.8996883970108083
-0.6180904522613067,-0.8246956376697178,-0.8751067911522327
-0.5879396984924625,-0.7926182990205632,-0.8488495919992438
-0.5577889447236184,-0.759502618103588,-0.8208580595643897
-0.5276381909547738,-0.7253604642607921,-0.7910805518466153
-0.4974874371859297,-0.6902082976531286,-0.7594741547169594
-0.46733668341708556,-0.6540673431396076,-0.7260063826712836
-0.43718592964824143,-0.6169637279321473,-0.6906569126022761
-0.4070351758793973,-0.5789285780465221,-0.6534193037701542
-0.37688442211055273,-0.5399980689152084,-0.6143026486376569
-0.3467336683417086,-0.5002134260255501,-0.5733330918657072
-0.31658291457286447,-0.45962087209731306,-0.5305551493148793
-0.28643216080402034,-0.418271518112359,-0.4860327561720374
-0.2562814070351762,-0.37622119644431284,-0.4398499740886495
-0.22613065326633164,-0.33353023538974985,-0.39211129211442736
-0.1959798994974875,-0.29026317555001147,-0.3429414656449322
-0.16582914572864338,-0.24648842972385288,-0.29248485165863786
-0.13567839195979925,-0.20227788921030443,-0.24090421688230218
-0.10552763819095468,-0.15770648064918447,-0.18837901743787233
-0.07537688442211055,-0.11285167870246139,-0.1351031728024376
-0.045226130653266416,-0.06779298096160596,-0.08128238200122213
-0.015075376884422287,-0.022611352414598298,-0.027131054054895225
0.015075376884421843,0.022611352414597632,0.027131054054894427
0.045226130653266416,0.06779298096160596,0.08128238200122213
0.07537688442211055,0.11285167870246139,0.1351031728024376
0.10552763819095468,0.15770648064918447,0.18837901743787233
0.1356783919597988,0.2022778892103038,0.2409042168823014
0.16582914572864293,0.2464884297238522,0.29248485165863713
0.1959798994974875,0.29026317555001147,0.3429414656449322
0.22613065326633164,0.33353023538974985,0.39211129211442736
0.25628140703517577,0.3762211964443123,0.43984997408864884
